node_id,lat,lon,biomass_tonnage,days_since_harvest,time_window_start_hr,time_window_end_hr
FARM_056_PART2,30.799786,75.790798,12.3,5,7,20
FARM_058_PART1,30.557402,75.60752,15.0,16,6,20
FARM_058_PART2,30.557402,75.60752,6.5,16,6,20
FARM_059_PART1,30.680899,76.312142,15.0,5,10,18
FARM_059_PART2,30.680899,76.312142,12.1,5,10,18
FARM_060_PART1,30.648696,75.71325,15.0,14,9,20
FARM_060_PART2,30.648696,75.71325,12.7,14,9,20
FARM_061_PART1,30.495122,75.66869,15.0,5,9,17
FARM_061_PART2,30.495122,75.66869,15.0,5,9,17
FARM_061_PART3,30.495122,75.66869,4.4,5,9,17
FARM_062_PART1,31.164329,76.16419,15.0,5,7,17
FARM_062_PART2,31.164329,76.16419,0.4,5,7,17
FARM_063,31.350111,76.243957,12.8,10,7,18
FARM_064_PART1,30.904101,76.213767,15.0,4,7,16
FARM_064_PART2,30.904101,76.213767,9.8,4,7,16
FARM_065_PART1,31.268164,75.993681,15.0,12,7,18
FARM_065_PART2,31.268164,75.993681,14.0,12,7,18
FARM_066_PART1,31.044253,75.81553,15.0,5,9,18
FARM_066_PART2,31.044253,75.81553,6.4,5,9,18
FARM_067,31.221392,76.008762,11.2,13,9,17
FARM_068_PART1,30.439928,75.975531,15.0,8,10,17
FARM_068_PART2,30.439928,75.975531,0.1,8,10,17
FARM_069,31.082579,75.697902,12.8,7,9,17
FARM_070_PART1,31.097702,75.98622,15.0,4,6,20
FARM_070_PART2,31.097702,75.98622,15.0,4,6,20
FARM_070_PART3,31.097702,75.98622,1.3,4,6,20
FARM_071_PART1,31.368546,75.905249,15.0,3,6,18
FARM_071_PART2,31.368546,75.905249,2.7,3,6,18
FARM_072_PART1,30.813583,75.729295,15.0,5,9,16
FARM_072_PART2,30.813583,75.729295,13.3,5,9,16
FARM_073,31.08081,76.097186,12.1,17,6,19
FARM_074_PART1,31.227422,75.677327,15.0,17,9,19
FARM_074_PART2,31.227422,75.677327,15.0,17,9,19
FARM_074_PART3,31.227422,75.677327,1.9,17,9,19
FARM_075_PART1,31.359506,76.20442,15.0,14,9,18
FARM_075_PART2,31.359506,76.20442,0.6,14,9,18
FARM_076,30.893991,75.440561,7.8,12,6,19
FARM_077_PART1,31.073483,76.109652,15.0,7,10,20
FARM_077_PART2,31.073483,76.109652,13.7,7,10,20
FARM_078_PART1,30.895385,75.414836,15.0,5,8,20
FARM_078_PART2,30.895385,75.414836,6.5,5,8,20
FARM_079,30.75188,75.474344,9.3,10,7,19
FARM_080_PART1,31.267834,76.195758,15.0,8,7,16
FARM_080_PART2,31.267834,76.195758,2.8,8,7,16
FARM_081,31.222825,76.063519,7.4,5,8,20
FARM_082_PART1,30.771607,76.170077,15.0,13,9,19
FARM_082_PART2,30.771607,76.170077,15.0,13,9,19
FARM_082_PART3,30.771607,76.170077,3.4,13,9,19
FARM_083_PART1,30.777225,75.440778,15.0,7,8,17
FARM_083_PART2,30.777225,75.440778,13.3,7,8,17
FARM_084_PART1,31.307319,75.468474,15.0,13,7,19
FARM_084_PART2,31.307319,75.468474,4.8,13,7,19
FARM_085_PART1,30.972438,76.098251,15.0,9,6,18
FARM_085_PART2,30.972438,76.098251,13.0,9,6,18
FARM_086_PART1,30.984334,76.31945,15.0,17,6,16
FARM_086_PART2,30.984334,76.31945,1.2,17,6,16
FARM_087,30.624561,76.3205,5.4,13,10,20
FARM_088_PART1,30.444366,76.28192,15.0,4,8,18
FARM_088_PART2,30.444366,76.28192,15.0,4,8,18
FARM_088_PART3,30.444366,76.28192,2.6,4,8,18
FARM_089_PART1,31.370268,75.880375,15.0,14,6,20
FARM_089_PART2,31.370268,75.880375,8.9,14,6,20
FARM_090_PART1,31.09789,75.741479,15.0,11,9,17
FARM_090_PART2,31.09789,75.741479,12.1,11,9,17
FARM_091_PART1,31.351376,76.247541,15.0,8,7,19
FARM_091_PART2,31.351376,76.247541,3.7,8,7,19
FARM_092,31.047813,75.745545,11.9,5,6,19
FARM_094,31.003747,75.628235,9.0,3,10,17
FARM_095_PART1,30.817604,75.93844,15.0,10,7,18
FARM_095_PART2,30.817604,75.93844,15.0,10,7,18
FARM_095_PART3,30.817604,75.93844,2.6,10,7,18
FARM_097_PART1,30.777704,76.106855,15.0,17,10,16
FARM_097_PART2,30.777704,76.106855,1.8,17,10,16
FARM_098,30.869658,75.772097,13.2,16,9,16
FARM_099_PART1,30.935311,76.107188,15.0,5,10,20
FARM_099_PART2,30.935311,76.107188,15.0,5,10,20
FARM_099_PART3,30.935311,76.107188,2.4,5,10,20
FARM_100,31.158046,75.735128,12.2,9,6,18
